adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
h,h,m,0.1108,0.2457,0.6435,3,WSAAHP,26
h,h,h,0.1021,0.2114,0.6865,3,WSAAHP,27
l,l,l,0.5735,0.3471,0.0794,3,RNM,1
l,l,m,0.5174,0.3782,0.1044,3,RNM,2
l,l,h,0.4652,0.403,0.1318,3,RNM,3
l,m,l,0.3857,0.4275,0.1868,3,RNM,4
l,m,m,0.3351,0.4352,0.2297,3,RNM,5
l,m,h,0.2786,0.4476,0.2738,3,RNM,6
l,h,l,0.2062,0.4453,0.3485,3,RNM,7
l,h,m,0.164,0.4313,0.4047,3,RNM,8
l,h,h,0.1339,0.402,0.4641,3,RNM,9
m,l,l,0.5174,0.3782,0.1044,3,RNM,10
m,l,m,0.4652,0.403,0.1318,3,RNM,11
m,l,h,0.4115,0.4206,0.1679,3,RNM,12
m,m,l,0.3351,0.4352,0.2297,3,RNM,13
m,m,m,0.2786,0.4476,0.2738,3,RNM,14
m,m,h,0.2301,0.4474,0.3225,3,RNM,15
m,h,l,0.164,0.4313,0.4047,3,RNM,16
m,h,m,0.1339,0.402,0.4641,3,RNM,17
m,h,h,0.1046,0.3777,0.5177,3,RNM,18
h,l,l,0.4652,0.403,0.1318,3,RNM,19
h,l,m,0.4115,0.4206,0.1679,3,RNM,20
h,l,h,0.3593,0.433,0.2077,3,RNM,21
h,m,l,0.2786,0.4476,0.2738,3,RNM,22
h,m,m,0.2301,0.4474,0.3225,3,RNM,23
h,m,h,0.1857,0.4376,0.3767,3,RNM,24
h,h,l,0.1339,0.402,0.4641,3,RNM,25
h,h,m,0.1046,0.3777,0.5177,3,RNM,26
h,h,h,0.0796,0.3514,0.569,3,RNM,27
l,l,l,0.8,0.15,0.05,4,WSA,1
l,l,m,0.625,0.325,0.05,4,WSA,2
l,l,h,0.6125,0.15,0.2375,4,WSA,3
l,m,l,0.55,0.4,0.05,4,WSA,4
l,m,m,0.38,0.57,0.05,4,WSA,5
